WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,,,,,,,,,,,,,,
23,16,-1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"45,6,-1","45,5,48","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,49","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,52","45,5,-1","45,5,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,67,-1","45,7,-1"
"45,6,-1","45,67,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,67,-1","45,7,-1"
"45,6,-1","45,67,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,67,-1","45,7,-1"
"45,6,-1","45,67,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,7,-1"
"45,6,-1","45,67,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,67,-1","45,7,-1"
"45,6,-1","45,67,-1","45,67,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,67,-1","45,67,-1","45,7,-1"
"45,6,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,5,-1","45,7,-1"
,,,,,,,,,,,,,,,,,,,,,,
ShapeSize,0,,,,,,,,,,,,,,,,,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,,,,,,,,,,,,,,,,,
