WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,
10,10,-1,,,,,,,
,,,,,,,,,
,,,,,,,,,
"29,6,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,7,-1"
"29,6,-1","29,-1,-1","28,-1,-1","28,-1,-1","28,-1,-1","28,-1,-1","28,-1,-1","29,-1,-1","28,47,-1","29,7,-1"
"29,6,-1","28,47,-1","29,-1,-1","28,-1,-1","28,-1,-1","27,-1,-1","28,-1,-1","29,-1,-1","28,-1,-1","29,7,-1"
"29,6,-1","28,-1,-1","28,-1,-1","29,-1,-1","28,68,-1","28,-1,-1","28,-1,-1","29,-1,-1","28,-1,-1","29,7,-1"
"29,6,-1","28,-1,-1","27,-1,-1","28,-1,-1","29,-1,-1","28,-1,-1","28,-1,-1","29,-1,-1","28,-1,-1","29,7,-1"
"29,6,-1","28,-1,-1","27,-1,-1","28,-1,-1","28,-1,-1","29,-1,-1","28,-1,-1","29,-1,-1","28,-1,-1","29,7,-1"
"29,6,-1","28,68,-1","27,-1,-1","28,-1,-1","28,-1,-1","28,-1,-1","29,-1,-1","29,68,-1","28,-1,-1","29,7,-1"
"29,6,-1","28,-1,-1","27,-1,-1","28,-1,-1","28,-1,-1","28,-1,-1","28,-1,-1","29,-1,-1","28,47,-1","29,7,-1"
"29,6,-1","28,47,-1","28,-1,-1","28,-1,-1","28,-1,-1","28,-1,-1","28,47,-1","29,-1,-1","29,-1,-1","29,7,-1"
"29,6,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,5,-1","29,7,-1"
,,,,,,,,,
ShapeSize,0,,,,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,,,,
