WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,
10,10,-1,,,,,,,
,,,,,,,,,
,,,,,,,,,
"3,1,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,2,-1"
"3,1,-1","3,63,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,63,-1","3,2,-1"
"3,1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,2,-1"
"3,1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,2,-1"
"3,1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,2,-1"
"3,1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,2,-1"
"3,1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,2,-1"
"3,1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,2,-1"
"3,1,-1","3,63,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,63,-1","3,2,-1"
"3,1,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,0,-1","3,2,-1"
,,,,,,,,,
ShapeSize,0,,,,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,,,,
