WallSizeWidth,WallSizeHeight,SortLayer,,
5,20,-1,,
,,,,
,,,,
"-1,16","-1,16","-1,16","-1,16","-1,16"
"-1,16","-1,16","-1,16","-1,16","-1,16"
"-1,16","-1,16","-1,16","-1,16","-1,-1"
"-1,-1","-1,-1","-1,16","-1,16","-1,-1"
"-1,-1","-1,16","-1,16","-1,-1","-1,-1"
"-1,16","-1,-1","-1,-1","-1,-1","-1,-1"
"-1,16","-1,16","-1,16","-1,16","-1,16"
"-1,16","-1,-1","-1,-1","-1,16","-1,16"
"-1,16","-1,16","-1,16","-1,-1","-1,-1"
"-1,-1","-1,-1","-1,-1","-1,16","-1,16"
"-1,-1","-1,-1","-1,-1","-1,-1","-1,16"
"-1,-1","-1,-1","-1,-1","-1,-1","-1,-1"
"-1,-1","-1,-1","-1,-1","-1,16","-1,-1"
"-1,-1","-1,-1","-1,16","-1,-1","-1,-1"
"-1,16","-1,-1","-1,-1","-1,-1","-1,-1"
"-1,16","-1,-1","-1,16","-1,16","-1,16"
"-1,16","-1,16","-1,-1","-1,16","-1,16"
"-1,-1","-1,-1","-1,16","-1,16","-1,16"
"-1,-1","-1,-1","-1,16","-1,16","-1,16"
"-1,-1","-1,-1","-1,16","-1,-1","-1,16"
,,,,
ShapeSize,0,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y
