WallSizeWidth,WallSizeHeight,SortLayer,,,,
7,7,-1,,,,
,,,,,,
,,,,,,
"11,-1","10,-1","10,-1","-1,-1","-1,-1","10,-1","12,-1"
"11,-1","7,17","7,-1","7,-1","7,-1","7,17","12,-1"
"11,-1","7,-1","7,-1","7,-1","7,-1","7,-1","12,-1"
"11,-1","7,17","7,-1","7,-1","7,-1","7,17","12,-1"
"11,-1","7,-1","7,-1","7,-1","7,-1","7,-1","12,-1"
"11,-1","7,17","7,-1","8,-1","8,-1","7,17","12,-1"
"14,-1","-1,13","-1,13","-1,13","-1,13","-1,13","15,-1"
,,,,,,
ShapeSize,0,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,
