WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,
10,8,-1,,,,,,,
,,,,,,,,,
,,,,,,,,,
"29,1,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,2,-1"
"29,1,-1","29,47,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,47,-1","29,2,-1"
"29,1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,2,-1"
"29,1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,2,-1"
"29,1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,2,-1"
"29,1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,2,-1"
"29,1,-1","29,47,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,-1,-1","29,47,-1","29,2,-1"
"29,1,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,0,-1","29,2,-1"
,,,,,,,,,
ShapeSize,0,,,,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,,,,
