WallSizeWidth,WallSizeHeight,SortLayer,,
5,20,-1,,
,,,,
,,,,
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
"7,-1","7,-1","7,-1","7,-1","7,-1"
,,,,
ShapeSize,0,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y
