WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,,,,,,,,,,,
20,20,-1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"21,1,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,67,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,-1,-1","21,2,-1"
"21,1,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,0,-1","21,2,-1"
,,,,,,,,,,,,,,,,,,,
ShapeSize,0,,,,,,,,,,,,,,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,,,,,,,,,,,,,,
