WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,
10,8,-1,,,,,,,
,,,,,,,,,
,,,,,,,,,
"3,18,-1","3,17,-1","3,17,48","3,17,-1","3,17,-1","3,17,-1","3,17,-1","3,17,48","3,17,-1","3,19,-1"
"3,18,-1","20,67,-1","3,-1,-1","3,-1,-1","20,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,67,-1","3,19,-1"
"3,18,-1","20,-1,-1","3,-1,-1","20,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,19,-1"
"3,18,-1","20,-1,-1","20,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,19,-1"
"3,18,-1","20,-1,-1","20,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,19,-1"
"3,18,-1","20,-1,-1","3,-1,-1","20,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,19,-1"
"3,18,-1","20,-1,-1","3,-1,-1","3,-1,-1","20,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,-1,-1","3,19,-1"
"3,18,-1","3,17,-1","3,17,-1","3,17,-1","3,17,-1","3,17,-1","3,17,-1","3,17,-1","3,17,-1","3,19,-1"
,,,,,,,,,
ShapeSize,0,,,,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,,,,
